,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
560,2020-12-26,222587.0350479862,219602.45898839913,222114.3884688831,221718.95842449606,223428.72650024475,-1708.3330762741534,-1708.3330762741534,-1708.3330762741534,-1708.3330762741534,-1708.3330762741534,-1708.3330762741534,0.0,0.0,0.0,220878.70197171206
561,2020-12-27,222616.4845360117,219994.24293050903,222476.67908488255,221736.2387846631,223464.53906373953,-1336.8048099192013,-1336.8048099192013,-1336.8048099192013,-1336.8048099192013,-1336.8048099192013,-1336.8048099192013,0.0,0.0,0.0,221279.6797260925
562,2020-12-28,222645.93402403727,220385.39563456815,222900.6250085419,221754.24271311038,223499.16056602733,-947.6727479805774,-947.6727479805774,-947.6727479805774,-947.6727479805774,-947.6727479805774,-947.6727479805774,0.0,0.0,0.0,221698.2612760567
563,2020-12-29,222675.3835120628,220839.03437460138,223396.07054701837,221776.48507367028,223533.78206831502,-550.9841422916385,-550.9841422916385,-550.9841422916385,-550.9841422916385,-550.9841422916385,-550.9841422916385,0.0,0.0,0.0,222124.39936977116
564,2020-12-30,222704.8330000883,221244.39944959962,223844.12334967806,221799.2736812631,223568.22366863475,-157.13288669426248,-157.13288669426248,-157.13288669426248,-157.13288669426248,-157.13288669426248,-157.13288669426248,0.0,0.0,0.0,222547.70011339406
565,2020-12-31,222734.28248811388,221763.23924567574,224233.04316801234,221822.06794086494,223602.55086156967,223.4401334894764,223.4401334894764,223.4401334894764,223.4401334894764,223.4401334894764,223.4401334894764,0.0,0.0,0.0,222957.72262160335
566,2021-01-01,222763.73197613945,222008.2749093962,224610.28421084658,221842.98721207754,223640.83387926302,580.5526508754629,580.5526508754629,580.5526508754629,580.5526508754629,580.5526508754629,580.5526508754629,0.0,0.0,0.0,223344.28462701492
567,2021-01-02,222793.18146416498,222424.29995538812,224896.0198690217,221863.90648329005,223682.25518801765,904.583804285013,904.583804285013,904.583804285013,904.583804285013,904.583804285013,904.583804285013,0.0,0.0,0.0,223697.76526845
568,2021-01-03,222822.6309521905,222666.8638186439,225314.23682013332,221884.82575450253,223715.82011020422,1186.7652985167667,1186.7652985167667,1186.7652985167667,1186.7652985167667,1186.7652985167667,1186.7652985167667,0.0,0.0,0.0,224009.39625070727
569,2021-01-04,222852.0804402161,222891.19534495153,225621.13325441786,221905.7450257151,223749.38503239088,1419.4523547552772,1419.4523547552772,1419.4523547552772,1419.4523547552772,1419.4523547552772,1419.4523547552772,0.0,0.0,0.0,224271.53279497137
570,2021-01-05,222881.52992824162,223167.3754408657,225660.6547229482,221926.8913037986,223782.94995457752,1596.3663467813617,1596.3663467813617,1596.3663467813617,1596.3663467813617,1596.3663467813617,1596.3663467813617,0.0,0.0,0.0,224477.896275023
571,2021-01-06,222910.97941626713,223296.6322082808,225834.2597032471,221948.08015077765,223816.5148767641,1712.8017325222559,1712.8017325222559,1712.8017325222559,1712.8017325222559,1712.8017325222559,1712.8017325222559,0.0,0.0,0.0,224623.7811487894
572,2021-01-07,222940.42890429267,223472.5586718407,226002.50339218442,221964.32933884332,223850.0797989507,1765.7908248303204,1765.7908248303204,1765.7908248303204,1765.7908248303204,1765.7908248303204,1765.7908248303204,0.0,0.0,0.0,224706.219729123
573,2021-01-08,222969.87839231826,223273.99155871966,226025.8433629192,221989.42211056518,223883.64472113733,1754.2210750301492,1754.2210750301492,1754.2210750301492,1754.2210750301492,1754.2210750301492,1754.2210750301492,0.0,0.0,0.0,224724.09946734842
574,2021-01-09,222999.3278803438,223322.11512487917,226011.38658948112,222010.3413817777,223917.2350407492,1678.9008371206578,1678.9008371206578,1678.9008371206578,1678.9008371206578,1678.9008371206578,1678.9008371206578,0.0,0.0,0.0,224678.22871746446
575,2021-01-10,223028.7773683693,223220.7853766346,225834.5103157892,222031.2606529902,223957.91624617847,1542.5710039311284,1542.5710039311284,1542.5710039311284,1542.5710039311284,1542.5710039311284,1542.5710039311284,0.0,0.0,0.0,224571.34837230045
576,2021-01-11,223058.22685639482,223097.70077007002,225700.72082949997,222051.16499328014,223998.5974516077,1349.861419617695,1349.861419617695,1349.861419617695,1349.861419617695,1349.861419617695,1349.861419617695,0.0,0.0,0.0,224408.0882760125
577,2021-01-12,223087.67634442044,222852.3538109087,225533.4281513364,222070.56244716427,224036.13423465568,1107.1925330292838,1107.1925330292838,1107.1925330292838,1107.1925330292838,1107.1925330292838,1107.1925330292838,0.0,0.0,0.0,224194.8688774497
578,2021-01-13,223117.12583244595,222618.89786573278,225313.6973458031,222091.07557978464,224071.88000047902,822.6243196408478,822.6243196408478,822.6243196408478,822.6243196408478,822.6243196408478,822.6243196408478,0.0,0.0,0.0,223939.7501520868
579,2021-01-14,223146.5753204715,222231.12381640557,224977.0714503177,222111.94499575178,224107.41688946102,505.65602139467387,505.65602139467387,505.65602139467387,505.65602139467387,505.65602139467387,505.65602139467387,0.0,0.0,0.0,223652.23134186617
580,2021-01-15,223176.024808497,222067.56085490066,224679.91437552153,222132.81441171892,224142.56590181403,166.9816900817306,166.9816900817306,166.9816900817306,166.9816900817306,166.9816900817306,166.9816900817306,0.0,0.0,0.0,223343.00649857873
581,2021-01-16,223205.47429652256,221548.21030956425,224354.28689794926,222153.68382768612,224177.714914167,-181.79217070025774,-181.79217070025774,-181.79217070025774,-181.79217070025774,-181.79217070025774,-181.79217070025774,0.0,0.0,0.0,223023.6821258223
582,2021-01-17,223234.92378454813,221272.44674903742,223947.2894993546,222168.34108855302,224215.23068979956,-528.4594258049715,-528.4594258049715,-528.4594258049715,-528.4594258049715,-528.4594258049715,-528.4594258049715,0.0,0.0,0.0,222706.46435874316
583,2021-01-18,223264.37327257363,221054.82476875297,223693.58926551533,222190.59453785443,224259.20816414742,-860.5492068766865,-860.5492068766865,-860.5492068766865,-860.5492068766865,-860.5492068766865,-860.5492068766865,0.0,0.0,0.0,222403.82406569694
584,2021-01-19,223293.82276059917,220827.10094351444,223468.8061168633,222210.81519546686,224297.53815144257,-1165.6737872496474,-1165.6737872496474,-1165.6737872496474,-1165.6737872496474,-1165.6737872496474,-1165.6737872496474,0.0,0.0,0.0,222128.1489733495
585,2021-01-20,223323.27224862474,220397.76395583298,223233.30808567506,222227.33987150743,224333.82951585992,-1431.8798645200059,-1431.8798645200059,-1431.8798645200059,-1431.8798645200059,-1431.8798645200059,-1431.8798645200059,0.0,0.0,0.0,221891.39238410472
586,2021-01-21,223352.7217366503,220154.23234156755,223046.02821977777,222244.1878014596,224369.31260423354,-1647.9934795781862,-1647.9934795781862,-1647.9934795781862,-1647.9934795781862,-1647.9934795781862,-1647.9934795781862,0.0,0.0,0.0,221704.72825707213
587,2021-01-22,223382.1712246758,220179.91353696721,222921.81422168625,222261.96904036577,224404.25124035994,-1803.9488717406189,-1803.9488717406189,-1803.9488717406189,-1803.9488717406189,-1803.9488717406189,-1803.9488717406189,0.0,0.0,0.0,221578.2223529352
588,2021-01-23,223411.62071270138,220251.82735650594,222828.98152110793,222285.06695451034,224438.98406705493,-1891.0919136022715,-1891.0919136022715,-1891.0919136022715,-1891.0919136022715,-1891.0919136022715,-1891.0919136022715,0.0,0.0,0.0,221520.5287990991
589,2021-01-24,223441.07020072688,220099.47559814758,222894.74861081407,222308.73914308712,224473.71689374984,-1902.4493789267158,-1902.4493789267158,-1902.4493789267158,-1902.4493789267158,-1902.4493789267158,-1902.4493789267158,0.0,0.0,0.0,221538.62082180017
590,2021-01-25,223470.51968875242,220254.4287319967,222979.19924812554,222332.4113316639,224505.5209270676,-1832.9561571751653,-1832.9561571751653,-1832.9561571751653,-1832.9561571751653,-1832.9561571751653,-1832.9561571751653,0.0,0.0,0.0,221637.56353157727
591,2021-01-26,223499.969176778,220211.44885841574,223295.8129980687,222356.08352024067,224544.28817233842,-1679.6336166924934,-1679.6336166924934,-1679.6336166924934,-1679.6336166924934,-1679.6336166924934,-1679.6336166924934,0.0,0.0,0.0,221820.33556008548
592,2021-01-27,223529.41866480355,220621.13137360668,223454.04748421712,222379.75570881754,224580.20940615324,-1441.7136064229253,-1441.7136064229253,-1441.7136064229253,-1441.7136064229253,-1441.7136064229253,-1441.7136064229253,0.0,0.0,0.0,222087.70505838064
593,2021-01-28,223558.86815282906,221068.1493760377,223756.0241241519,222403.13137576805,224616.13063996806,-1120.7040384160669,-1120.7040384160669,-1120.7040384160669,-1120.7040384160669,-1120.7040384160669,-1120.7040384160669,0.0,0.0,0.0,222438.164114413
594,2021-01-29,223588.3176408546,221397.15147608556,224213.59136636264,222426.3730495633,224652.77123777953,-720.3935708519177,-720.3935708519177,-720.3935708519177,-720.3935708519177,-720.3935708519177,-720.3935708519177,0.0,0.0,0.0,222867.9240700027
595,2021-01-30,223617.7671288801,221945.46794993212,224738.01969246875,222449.6147233586,224692.1443954495,-246.7945704638152,-246.7945704638152,-246.7945704638152,-246.7945704638152,-246.7945704638152,-246.7945704638152,0.0,0.0,0.0,223370.97255841628
596,2021-01-31,223647.21661690573,222548.5094499667,225474.12738585082,222469.76085176299,224731.24766025646,291.9747717952464,291.9747717952464,291.9747717952464,291.9747717952464,291.9747717952464,291.9747717952464,0.0,0.0,0.0,223939.19138870097
597,2021-02-01,223676.66610493124,222995.41823529804,225950.24193877916,222489.4769891034,224774.07416370936,885.8666143892221,885.8666143892221,885.8666143892221,885.8666143892221,885.8666143892221,885.8666143892221,0.0,0.0,0.0,224562.53271932047
598,2021-02-02,223706.11559295675,223672.53705142296,226683.4734360362,222509.19312644377,224817.77806901967,1523.1337455484752,1523.1337455484752,1523.1337455484752,1523.1337455484752,1523.1337455484752,1523.1337455484752,0.0,0.0,0.0,225229.2493385052
599,2021-02-03,223735.56508098228,224431.68280044556,227328.96869781462,222524.2506207474,224849.28075275835,2190.6082667885194,2190.6082667885194,2190.6082667885194,2190.6082667885194,2190.6082667885194,2190.6082667885194,0.0,0.0,0.0,225926.1733477708
600,2021-02-04,223765.01456900788,225151.0911622388,228133.17089541483,222543.85452700805,224886.20625540978,2874.0216023365756,2874.0216023365756,2874.0216023365756,2874.0216023365756,2874.0216023365756,2874.0216023365756,0.0,0.0,0.0,226639.03617134446
601,2021-02-05,223794.46405703342,225852.61771491513,228806.34475051443,222563.4584332687,224923.6311727627,3558.3575698561426,3558.3575698561426,3558.3575698561426,3558.3575698561426,3558.3575698561426,3558.3575698561426,0.0,0.0,0.0,227352.82162688955
602,2021-02-06,223823.91354505892,226467.63668181683,229419.44754078198,222584.4022172474,224955.42237888562,4228.229280955487,4228.229280955487,4228.229280955487,4228.229280955487,4228.229280955487,4228.229280955487,0.0,0.0,0.0,228052.1428260144
603,2021-02-07,223853.36303308443,227164.15660649794,230170.6593276729,222605.35398081728,224986.635312331,4868.269921697349,4868.269921697349,4868.269921697349,4868.269921697349,4868.269921697349,4868.269921697349,0.0,0.0,0.0,228721.6329547818
604,2021-02-08,223882.81252111006,227802.74257725547,230878.40254756832,222626.30574438724,225017.84824577652,5463.527014759992,5463.527014759992,5463.527014759992,5463.527014759992,5463.527014759992,5463.527014759992,0.0,0.0,0.0,229346.33953587004
605,2021-02-09,223912.26200913556,228412.94147482183,231398.73391737163,222646.5459584125,225052.02760220293,5999.849600131244,5999.849600131244,5999.849600131244,5999.849600131244,5999.849600131244,5999.849600131244,0.0,0.0,0.0,229912.1116092668
606,2021-02-10,223941.7114971611,228877.6624393641,231820.65023767497,222666.6652124742,225091.6394129113,6464.25789595484,6464.25789595484,6464.25789595484,6464.25789595484,6464.25789595484,6464.25789595484,0.0,0.0,0.0,230405.96939311593
607,2021-02-11,223971.16098518667,229317.16466205998,232257.74418343406,222688.75086789468,225131.25122361974,6845.285413364272,6845.285413364272,6845.285413364272,6845.285413364272,6845.285413364272,6845.285413364272,0.0,0.0,0.0,230816.44639855094
608,2021-02-12,224000.61047321223,229721.18535563626,232721.2704450481,222709.2070136867,225168.20415173616,7133.284188795111,7133.284188795111,7133.284188795111,7133.284188795111,7133.284188795111,7133.284188795111,0.0,0.0,0.0,231133.89466200734
609,2021-02-13,224030.05996123774,229760.44454722008,232747.07883290548,222729.66315947872,225203.15485080171,7320.684746197602,7320.684746197602,7320.684746197602,7320.684746197602,7320.684746197602,7320.684746197602,0.0,0.0,0.0,231350.74470743534
610,2021-02-14,224059.50944926325,229978.52216406065,232931.67910800973,222750.1193052708,225238.06284860216,7402.203584873807,7402.203584873807,7402.203584873807,7402.203584873807,7402.203584873807,7402.203584873807,0.0,0.0,0.0,231461.71303413706
611,2021-02-15,224088.95893728881,229983.69192734142,233078.15152839542,222770.5754510629,225272.97084640263,7374.992374207078,7374.992374207078,7374.992374207078,7374.992374207078,7374.992374207078,7374.992374207078,0.0,0.0,0.0,231463.95131149588
612,2021-02-16,224118.40842531435,229808.156096758,232851.25870295186,222791.031596855,225312.10109469554,7238.724587035848,7238.724587035848,7238.724587035848,7238.724587035848,7238.724587035848,7238.724587035848,0.0,0.0,0.0,231357.1330123502
613,2021-02-17,224147.85791333992,229613.68867652278,232584.19490177103,222811.95671803964,225347.09722715023,6995.616976395409,6995.616976395409,6995.616976395409,6995.616976395409,6995.616976395409,6995.616976395409,0.0,0.0,0.0,231143.47488973534
614,2021-02-18,224177.30740136543,229423.92421463583,232422.65408376785,222834.06809795878,225383.65681415965,6650.385050156848,6650.385050156848,6650.385050156848,6650.385050156848,6650.385050156848,6650.385050156848,0.0,0.0,0.0,230827.69245152228
615,2021-02-19,224206.756889391,228741.05900011444,231866.91428203564,222854.2820458031,225422.42718774008,6210.133476606766,6210.133476606766,6210.133476606766,6210.133476606766,6210.133476606766,6210.133476606766,0.0,0.0,0.0,230416.89036599777
616,2021-02-20,224236.2063774165,228341.14445137122,231334.35859673255,222873.7928269935,225459.14691804355,5684.1841123287495,5684.1841123287495,5684.1841123287495,5684.1841123287495,5684.1841123287495,5684.1841123287495,0.0,0.0,0.0,229920.39048974524
617,2021-02-21,224265.65586544207,227841.25343555628,230858.72355619815,222895.17530430504,225494.82436006336,5083.846033331899,5083.846033331899,5083.846033331899,5083.846033331899,5083.846033331899,5083.846033331899,0.0,0.0,0.0,229349.50189877397
618,2021-02-22,224295.1053534676,227102.42133308842,230188.2164687035,222918.81509925262,225530.50180208316,4422.133524574978,4422.133524574978,4422.133524574978,4422.133524574978,4422.133524574978,4422.133524574978,0.0,0.0,0.0,228717.23887804258
619,2021-02-23,224324.55484149317,226432.58474968752,229646.24779984046,222939.8541997992,225566.17924410303,3713.4393982086103,3713.4393982086103,3713.4393982086103,3713.4393982086103,3713.4393982086103,3713.4393982086103,0.0,0.0,0.0,228037.99423970177
620,2021-02-24,224354.00432951868,225691.29686715902,228845.94492854402,222959.54025721227,225601.85668612283,2973.172227891881,2973.172227891881,2973.172227891881,2973.172227891881,2973.172227891881,2973.172227891881,0.0,0.0,0.0,227327.17655741057
621,2021-02-25,224383.4538175442,225031.9795818716,228121.54688038846,222979.22631462532,225635.8805193243,2217.3670714571585,2217.3670714571585,2217.3670714571585,2217.3670714571585,2217.3670714571585,2217.3670714571585,0.0,0.0,0.0,226600.82088900136
622,2021-02-26,224412.90330556978,224299.48703611788,227618.2090710865,222998.9123720383,225662.11032014358,1462.2799798769877,1462.2799798769877,1462.2799798769877,1462.2799798769877,1462.2799798769877,1462.2799798769877,0.0,0.0,0.0,225875.18328544678
623,2021-02-27,224442.35279359535,223607.37470564924,226712.20159492237,223018.5984294514,225697.05855169753,723.9770363281342,723.9770363281342,723.9770363281342,723.9770363281342,723.9770363281342,723.9770363281342,0.0,0.0,0.0,225166.3298299235
624,2021-02-28,224471.80228162085,222903.506277013,226010.54617035706,223038.335545201,225733.18383504488,17.92882305391908,17.92882305391908,17.92882305391908,17.92882305391908,17.92882305391908,17.92882305391908,0.0,0.0,0.0,224489.73110467478
625,2021-03-01,224501.25176964636,222262.8560789662,225518.09493719527,223058.80485737819,225772.05575578255,-641.378929039182,-641.378929039182,-641.378929039182,-641.378929039182,-641.378929039182,-641.378929039182,0.0,0.0,0.0,223859.8728406072
626,2021-03-02,224530.701257672,221568.849605894,224822.34779805772,223082.5116041914,225810.92767652034,-1240.8081885998665,-1240.8081885998665,-1240.8081885998665,-1240.8081885998665,-1240.8081885998665,-1240.8081885998665,0.0,0.0,0.0,223289.89306907213
